what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ecf.presence.collab.ui,1.3.0.v20100615-1451,"org.eclipse.ecf.presence.collab.ui",1323588389421
started,bundle,org.eclipse.ecf.provider,3.0.0.v20100615-1451,"org.eclipse.ecf.provider",1323588389421
started,bundle,org.eclipse.ecf.provider.bittorrent,0.3.100.v20100615-1451,"org.eclipse.ecf.provider.bittorrent",1323588389421
started,bundle,org.eclipse.ecf.provider.discovery,2.1.100.v20100615-1451,"org.eclipse.ecf.provider.discovery",1323588389421
started,bundle,org.eclipse.ecf.provider.filetransfer.efs,1.5.0.v20100615-1451,"org.eclipse.ecf.provider.filetransfer.efs",1323588389421
started,bundle,org.eclipse.ecf.provider.filetransfer.scp,2.0.0.v20100615-1451,"org.eclipse.ecf.provider.filetransfer.scp",1323588389421
started,bundle,org.eclipse.ecf.provider.irc,1.3.0.v20100615-1451,"org.eclipse.ecf.provider.irc",1323588389421
started,bundle,org.eclipse.ecf.provider.jmdns,4.0.0.v20100615-1451,"org.eclipse.ecf.provider.jmdns",1323588389421
started,bundle,org.eclipse.ecf.provider.jslp,3.0.0.v20100615-1451,"org.eclipse.ecf.provider.jslp",1323588389421
started,bundle,org.eclipse.ecf.provider.msn,1.2.0.v20100615-1451,"org.eclipse.ecf.provider.msn",1323588389421
started,bundle,org.eclipse.ecf.provider.r_osgi,3.1.0.v20100615-1451,"org.eclipse.ecf.provider.r_osgi",1323588389421
started,bundle,org.eclipse.ecf.provider.remoteservice,3.3.0.v20100615-1451,"org.eclipse.ecf.provider.remoteservice",1323588389421
started,bundle,org.eclipse.ecf.provider.xmpp,3.1.0.v20100615-1451,"org.eclipse.ecf.provider.xmpp",1323588389421
started,bundle,org.eclipse.ecf.provider.zookeeper,1.0.0.v20100615-1451,"org.eclipse.ecf.provider.zookeeper",1323588389421
started,bundle,org.eclipse.ecf.remoteservice.rest,2.0.0.v20100615-1451,"org.eclipse.ecf.remoteservice.rest",1323588389421
started,bundle,org.eclipse.ecf.sharedobject,2.1.0.v20100615-1451,"org.eclipse.ecf.sharedobject",1323588389421
started,bundle,org.eclipse.ecf.storage,2.0.0.v20100615-1451,"org.eclipse.ecf.storage",1323588389421
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1323588389421
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906151043,"org.eclipse.emf.ecore",1323588389421
started,bundle,org.eclipse.equinox.app,1.2.1.R35x_v20091203,"org.eclipse.equinox.app",1323588389421
started,bundle,org.eclipse.equinox.common,3.5.1.R35x_v20090807-1100,"org.eclipse.equinox.common",1323588389421
started,bundle,org.eclipse.equinox.concurrent,1.0.100.v20100503,"org.eclipse.equinox.concurrent",1323588389421
started,bundle,org.eclipse.equinox.ds,1.1.1.R35x_v20090806,"org.eclipse.equinox.ds",1323588389421
started,bundle,org.eclipse.equinox.frameworkadmin,1.0.100.v20090520-1905,"org.eclipse.equinox.frameworkadmin",1323588389421
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.101.R35x_v20091214,"org.eclipse.equinox.frameworkadmin.equinox",1323588389421
