what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1323588389423
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1323588389423
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui",1323588389423
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1323588389423
os,sysinfo,,,"win32",1323588389569
arch,sysinfo,,,"x86",1323588389569
ws,sysinfo,,,"win32",1323588389569
locale,sysinfo,,,"en_US",1323588389569
processors,sysinfo,,,"2",1323588389569
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1323588389569
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1323588389569
java.specification.name,sysinfo,,,"Java Platform API Specification",1323588389569
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1323588389569
java.specification.version,sysinfo,,,"1.6",1323588389569
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1323588389569
java.version,sysinfo,,,"1.6.0_21",1323588389569
java.vm.info,sysinfo,,,"mixed mode, sharing",1323588389569
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1323588389569
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1323588389569
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1323588389569
java.vm.specification.version,sysinfo,,,"1.0",1323588389569
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1323588389569
java.vm.version,sysinfo,,,"17.0-b17",1323588389569
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1323588393013
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1323588393097
