what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.google.appengine.eclipse.sdkbundle.1.3.6,1.3.6.v201008132009,"com.google.appengine.eclipse.sdkbundle.1.3.6",1323588597156
stopped,bundle,com.google.appengine.eclipse.sdkbundle.1.3.7,1.3.7.v201008311405,"com.google.appengine.eclipse.sdkbundle.1.3.7",1323588597156
stopped,bundle,com.google.gwt.eclipse.sdkbundle.2.0.4,2.0.4.v201006301254,"com.google.gwt.eclipse.sdkbundle.2.0.4",1323588597156
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,"org.eclipse.jst.j2ee.xdoclet.runtime",1323588597158
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1323588597162
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.0.v200906020553,"org.eclipse.datatools.connectivity.oda.template.ui",1323588597165
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1323588597168
stopped,bundle,org.eclipse.pde.ds.ui,1.0.0.v20100209-maintenance,"org.eclipse.pde.ds.ui",1323588597169
stopped,bundle,org.eclipse.pde.runtime,3.4.100.v20090731,"org.eclipse.pde.runtime",1323588597171
stopped,bundle,org.eclipse.pde.ua.ui,1.0.0.v20090511,"org.eclipse.pde.ua.ui",1323588597173
stopped,bundle,org.eclipse.pde.ui.templates,3.4.100.v20090527,"org.eclipse.pde.ui.templates",1323588597175
stopped,bundle,com.instantiations.designer.rcp.databinding.xwt,8.1.1.r35x201012170700,"com.instantiations.designer.rcp.databinding.xwt",1323588597177
stopped,bundle,com.instantiations.designer.core.databinding.xml,8.1.1.r35x201012161237,"com.instantiations.designer.core.databinding.xml",1323588597178
stopped,bundle,com.instantiations.designer.gxt.databinding,8.1.1.r35x201012170650,"com.instantiations.designer.gxt.databinding",1323588597180
stopped,bundle,com.instantiations.designer.rcp.databinding.emf,8.1.1.r35x201012170653,"com.instantiations.designer.rcp.databinding.emf",1323588597181
stopped,bundle,com.instantiations.designer.rcp.databinding,8.1.1.r35x201012170653,"com.instantiations.designer.rcp.databinding",1323588597183
stopped,bundle,com.instantiations.designer.swing.databinding,8.1.1.r35x201012170656,"com.instantiations.designer.swing.databinding",1323588597187
stopped,bundle,com.instantiations.designer.core.databinding,8.1.1.r35x201012161228,"com.instantiations.designer.core.databinding",1323588597189
stopped,bundle,com.instantiations.designer.rcp.GroupLayout,8.1.1.r35x201012170653,"com.instantiations.designer.rcp.GroupLayout",1323588597190
stopped,bundle,com.instantiations.designer.rcp.SWT_AWT,8.1.1.r35x201012170702,"com.instantiations.designer.rcp.SWT_AWT",1323588597190
stopped,bundle,com.instantiations.designer.rcp.nebula,8.1.1.r35x201012170653,"com.instantiations.designer.rcp.nebula",1323588597192
stopped,bundle,com.instantiations.designer.rcp.swing2swt,8.1.1.r35x201012170653,"com.instantiations.designer.rcp.swing2swt",1323588597193
stopped,bundle,com.instantiations.designer.xwt,8.1.1.r35x201012170700,"com.instantiations.designer.xwt",1323588597193
stopped,bundle,com.instantiations.designer.rcp,8.1.1.r35x201012170653,"com.instantiations.designer.rcp",1323588597193
stopped,bundle,org.eclipse.rap.ui.launch,1.4.0.20110315-1210,"org.eclipse.rap.ui.launch",1323588597195
