what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1323588597195
stopped,bundle,com.instantiations.j2ee,7.4.0.r35x201003191323,"com.instantiations.j2ee",1323588597195
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1323588597196
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1323588597196
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1323588597198
stopped,bundle,com.google.gdt.eclipse.maven,1.4.0.v201010280047,"com.google.gdt.eclipse.maven",1323588597198
stopped,bundle,com.google.gdt.eclipse.suite,1.4.0.v201010280047,"com.google.gdt.eclipse.suite",1323588597198
stopped,bundle,com.google.gwt.eclipse.oophm,1.4.0.v201010280047,"com.google.gwt.eclipse.oophm",1323588597199
stopped,bundle,com.google.gwt.eclipse.sdkbundle.2.1.0,2.1.0.v201010280047,"com.google.gwt.eclipse.sdkbundle.2.1.0",1323588597199
stopped,bundle,com.google.gwt.eclipse.core,1.4.0.v201010280047,"com.google.gwt.eclipse.core",1323588597382
stopped,bundle,com.android.ide.eclipse.adt,8.0.1.v201012062107-82219,"com.android.ide.eclipse.adt",1323588597382
stopped,bundle,com.instantiations.designer.gwt.ExtGWT,8.1.1.r35x201012170650,"com.instantiations.designer.gwt.ExtGWT",1323588597382
stopped,bundle,com.instantiations.designer.gwt.GWTExt,8.1.1.r35x201012170650,"com.instantiations.designer.gwt.GWTExt",1323588597386
stopped,bundle,com.instantiations.designer.gwt.SmartGWT,8.1.1.r35x201012170650,"com.instantiations.designer.gwt.SmartGWT",1323588597386
stopped,bundle,com.instantiations.designer.gwt.UiBinder.wizards,8.1.1.r35x201012170650,"com.instantiations.designer.gwt.UiBinder.wizards",1323588597423
stopped,bundle,com.instantiations.designer.gwt.UiBinder,8.1.1.r35x201012170442,"com.instantiations.designer.gwt.UiBinder",1323588597423
stopped,bundle,com.instantiations.designer.gwt.launch,8.1.1.r35x201012170650,"com.instantiations.designer.gwt.launch",1323588597434
stopped,bundle,com.instantiations.designer.gwt.preferences,8.1.1.r35x201012170650,"com.instantiations.designer.gwt.preferences",1323588597466
stopped,bundle,com.instantiations.designer.gwt.wizards,8.1.1.r35x201012170650,"com.instantiations.designer.gwt.wizards",1323588597466
stopped,bundle,com.instantiations.designer.gwt,8.1.1.r35x201012170442,"com.instantiations.designer.gwt",1323588597466
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1323588597539
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1323588597541
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1323588597543
stopped,bundle,com.python.pydev.codecompletion,1.6.2.2010090812,"com.python.pydev.codecompletion",1323588597587
stopped,bundle,com.python.pydev.refactoring,1.6.2.2010090812,"com.python.pydev.refactoring",1323588597716
