what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.adt,8.0.1.v201012062107-82219,"com.android.ide.eclipse.adt",1323588419840
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1323588419906
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1323588419907
started,bundle,org.eclipse.wst.html.core,1.1.300.v200903120608,"org.eclipse.wst.html.core",1323588420367
error,log,,,"Invalid preference page path: Maven4MyEclipse",1323588422178
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1323588422252
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1323588422275
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1323588422276
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1323588422393
started,bundle,org.eclipse.jst.j2ee.core,1.1.301.v200911302230,"org.eclipse.jst.j2ee.core",1323588422396
started,bundle,org.eclipse.jem,2.0.301.v201001252130,"org.eclipse.jem",1323588422421
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1323588422427
started,bundle,org.eclipse.jst.jee,1.0.201.v201002021055,"org.eclipse.jst.jee",1323588422453
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1323588422555
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1323588422573
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1323588422634
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1323588422716
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1323588422738
started,bundle,org.eclipse.jst.j2ee,1.1.302.v201004131604,"org.eclipse.jst.j2ee",1323588422811
error,log,,,"No property tester contributes a property com.genuitec.myeclipse.capabilityEnabled to type class org.eclipse.core.internal.resources.Project",1323588422927
started,bundle,com.instantiations.designer.gwt.wizards,8.1.1.r35x201012170650,"com.instantiations.designer.gwt.wizards",1323588422960
started,bundle,org.eclipse.ecf.presence,2.0.0.v20100615-1451,"org.eclipse.ecf.presence",1323588423837
started,bundle,org.eclipse.ecf.presence.ui,2.1.0.v20100615-1451,"org.eclipse.ecf.presence.ui",1323588423839
error,log,,,"The site.xml file downloaded from the update site does not contain any <feature> elements with an id of 'com.google.gwt.eclipse.sdkbundle.e35.feature.2.1.0'. Unable to determine if there are updates available.",1323588424238
error,log,,,"The site.xml file downloaded from the update site does not contain any <feature> elements with an id of 'com.google.appengine.eclipse.sdkbundle.e35.feature.1.3.8'. Unable to determine if there are updates available.",1323588424289
