what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323588424504
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323588425435
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323588427324
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1323588435655
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1323588435657
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1323588435739
started,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1323588435741
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1323588436008
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1323588436213
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323588440285
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.rename",1323588440306
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323588455226
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323588462265
started,bundle,com.jackbe.mashup.studio.core,3.0.0.201009280058,"com.jackbe.mashup.studio.core",1323588466129
started,bundle,com.jackbe.mashup.studio.debugger.core,3.0.0.201009280058,"com.jackbe.mashup.studio.debugger.core",1323588466130
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323588477184
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323588478439
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.cleanAction",1323588478455
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1323588484632
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323588491841
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323588496900
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323588499280
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323588500670
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1323588502881
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAutomatically",1323588506801
