what,kind,bundleId,bundleVersion,description,time
closed,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1323588393209
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323588396091
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1323588414967
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1323588415033
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1323588415033
started,bundle,org.eclipse.pde.core,3.5.101.v20100104,"org.eclipse.pde.core",1323588415259
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1323588415764
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1323588415832
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1323588415912
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1323588415991
started,bundle,com.collabnet.subversion.merge,2.1.0,"com.collabnet.subversion.merge",1323588416188
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1323588416190
started,bundle,org.tigris.subversion.subclipse.ui,1.6.13,"org.tigris.subversion.subclipse.ui",1323588416223
started,bundle,org.eclipse.team.svn.revision.graph,0.7.9.I20100512-1900,"org.eclipse.team.svn.revision.graph",1323588416321
started,bundle,com.google.gdt.eclipse.maven,1.4.0.v201010280047,"com.google.gdt.eclipse.maven",1323588416322
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.1.v200911141836,"org.eclipse.jst.common.project.facet.core",1323588416772
started,bundle,org.eclipse.jpt.core,2.2.1.v200908270220,"org.eclipse.jpt.core",1323588416777
started,bundle,org.eclipse.jpt.eclipselink.core,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.core",1323588416784
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1323588417020
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1323588418219
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1323588418220
started,bundle,org.maven.ide.eclipse.maven_model_edit,0.10.0.20100209-0800,"org.maven.ide.eclipse.maven_model_edit",1323588418429
started,bundle,org.maven.ide.eclipse,0.10.0.me201005202254,"org.maven.ide.eclipse",1323588418821
started,bundle,org.maven.ide.eclipse.jdt,0.10.0.me201005202248,"org.maven.ide.eclipse.jdt",1323588418858
started,bundle,com.android.ide.eclipse.ddms,8.0.1.v201012062107-82219,"com.android.ide.eclipse.ddms",1323588419110
